17:45:07.919550 config: drop-rate=0.00, max-delay=0s, seed=1543272307919550300
17:47:20.797819 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:21.798284 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:22.798749 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:23.799215 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:24.800183 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:25.800645 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:26.801110 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:27.801577 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:28.802040 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:29.802505 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:30.802971 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:31.803058 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:32.803525 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:33.804025 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:34.804566 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:35.805028 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:36.805511 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:37.806000 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:38.806471 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
